2023-01-01,111,RH-19495,56,In-store,Cash,7,5,9900
2023-01-01,151,JR-16210,55,Online,Mobile Payment,6,5,17250
2023-01-01,31,CR-12730,26,In-store,Cash,3,8,17440
2023-01-01,65,KM-16375,46,Online,Credit Card,3,2,8782.169921875
2023-01-01,122,RH-9495,95,Online,Credit Card,6,5,6745.5
2023-01-01,179,JM-15655,9,Online,Mobile Payment,2,1,1899.90002441406
2023-01-01,202,TS-21340,47,Online,Debit Card,5,8,30000
2023-01-01,174,MB-18085,58,Online,Mobile Payment,1,6,11999.400390625
2023-01-01,111,JW-15220,75,In-store,Cash,2,7,13860
2023-01-01,99,JH-15985,22,Online,Credit Card,2,6,21954.509765625
2023-01-01,57,AJ-10780,76,In-store,Credit Card,1,5,15950
2023-01-01,38,MM-7260,88,In-store,Credit Card,6,7,8260
2023-01-01,147,VF-21715,8,Online,Cash,7,5,17250
2023-01-01,76,PF-19120,82,Online,Credit Card,4,6,19209.509765625
2023-01-01,87,BP-11185,91,Online,Credit Card,5,8,23416.6796875
2023-01-01,121,TB-21175,53,Online,Credit Card,5,3,3540
2023-01-01,94,PJ-18835,72,Online,Cash,5,5,22412.92578125
2023-01-01,178,JS-15685,50,Online,Cash,1,7,13299.2998046875
2023-01-01,4,RH-9555,31,Online,Credit Card,7,2,4760
2023-01-01,134,AB-600,74,In-store,Cash,6,2,2338.19995117188
2023-01-01,165,SA-20830,98,In-store,Credit Card,6,8,15199.2001953125
2023-01-01,83,JK-15325,58,Online,Cash,1,8,8776.6796875
2023-01-01,82,LB-16795,71,In-store,Cash,2,7,22411.095703125
2023-01-01,178,NP-18325,59,In-store,Debit Card,4,2,3799.80004882813
2023-01-01,128,VD-21670,37,In-store,Mobile Payment,4,9,12141.900390625
2023-01-01,155,PB-19210,64,Online,Cash,3,9,33750
2023-01-01,45,KF-16285,43,Online,Cash,6,1,5820
2023-01-01,137,BP-11230,94,In-store,Debit Card,4,1,1169.09997558594
2023-01-01,124,RR-19525,50,In-store,Cash,1,6,4314.60009765625
2023-01-01,146,BS-11365,61,Online,Mobile Payment,5,5,18250
2023-01-01,127,JE-15745,84,In-store,Cash,6,5,3595.5
2023-01-01,117,DP-13105,19,Online,Cash,5,2,2360
